Name  /  Date: 2016_11_01;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03040_FV4_R (MQ215);0;0;1;0;0;0;1;0;3;5;4;6;5;5;5;7;7;7;4;3;2;2;1;0;
MQ_03050_FV1_G (MQ216);66;49;36;40;25;68;98;99;100;270;381;363;433;447;533;477;428;424;362;318;228;156;111;50;
MQ_03050_FV1_L (MQ217);9;12;6;15;8;10;11;18;56;95;108;114;116;130;126;126;147;95;74;54;35;31;16;10;
MQ_02010_FV3_L (MQ218);2;2;2;2;1;1;1;1;1;2;5;6;7;6;7;8;8;9;8;6;5;3;3;2;
MQ_08060_FV2_G (MQ219);13;5;3;2;3;3;9;8;16;24;39;44;42;48;51;46;46;47;32;27;12;15;8;3;
MQ_03020_FV4_R (MQ22);4;6;3;3;3;2;3;3;8;17;19;18;22;27;30;27;30;31;23;21;14;6;5;4;
MQ_08060_FV2_L (MQ220);32;27;25;22;24;24;16;14;31;45;61;48;61;72;79;83;77;89;64;55;40;72;34;23;
MQ_03050_FV1_R (MQ221);6;7;2;2;1;18;8;5;12;23;34;23;41;34;37;44;38;36;21;23;16;5;5;7;
MQ_03050_FV2_G (MQ222);49;43;20;26;14;20;24;24;57;92;110;141;179;151;198;165;196;222;124;107;87;53;59;20;
MQ_03050_FV2_L (MQ223);47;43;26;28;12;15;25;24;55;89;125;152;165;165;222;169;203;216;127;98;76;55;66;16;
MQ_08060_FV3_R (MQ224);3;7;4;6;2;4;7;11;22;34;55;65;53;50;62;52;64;53;49;34;21;14;9;7;
MQ_08060_FV3_G (MQ225);110;74;68;65;71;71;99;96;150;309;447;449;455;485;565;481;411;467;434;323;221;128;82;54;
