Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_08054_FV2_L (MQ204);-70;56;69;87;168;133;120;109;103;72;33;15;26;19;2;4;
MQ_03040_FV3_G (MQ205);1350;689;548;544;599;740;852;771;656;649;599;383;323;185;166;113;
MQ_03040_FV3_L (MQ206);;23;5;14;9;11;;11;6;14;9;6;5;1;2;2;
MQ_03040_FV3_R (MQ207);82;33;25;25;26;33;28;36;29;30;28;19;16;10;10;6;
MQ_08054_FV3_G (MQ208);840;993;867;836;825;866;800;961;900;910;781;581;354;242;189;154;
MQ_08054_FV3_L (MQ209);;22;8;13;4;;80;6;9;6;2;2;1;2;2;0;
MQ_03020_FV4_G (MQ21);;;;;;;;;
MQ_08060_FV1_R (MQ210);;48;54;56;79;65;120;60;47;34;44;34;20;14;16;5;
MQ_03040_FV4_G (MQ211);;10;13;8;15;17;40;15;9;9;8;9;11;5;1;1;
MQ_08060_FV1_G (MQ212);22;409;570;629;773;871;1160;984;941;937;783;660;491;340;274;214;
MQ_03040_FV4_L (MQ213);;10;13;8;15;17;40;15;9;9;8;9;11;5;1;1;
MQ_08060_FV1_L (MQ214);175;92;74;93;126;142;200;151;114;110;99;53;38;18;10;3;
MQ_03040_FV4_R (MQ215);;10;13;8;15;17;40;15;9;9;8;9;11;5;1;1;
MQ_03050_FV1_G (MQ216);920;702;619;633;711;812;840;848;815;715;610;401;259;251;165;107;
MQ_03050_FV1_L (MQ217);119;193;182;155;138;176;360;169;173;141;149;105;80;49;34;28;
MQ_02010_FV3_L (MQ218);0;8;8;10;13;13;22;14;13;15;13;10;7;5;4;3;
MQ_08060_FV2_G (MQ219);60;102;98;98;105;114;104;123;134;112;75;51;28;22;17;9;
MQ_03020_FV4_R (MQ22);;;;;;;;;
MQ_08060_FV2_L (MQ220);0;88;73;96;116;;;;
MQ_03050_FV1_R (MQ221);40;93;87;71;67;68;40;51;65;72;48;27;32;13;12;9;
MQ_03050_FV2_G (MQ222);40;145;150;166;210;211;200;206;211;207;172;146;140;89;83;85;
MQ_03050_FV2_L (MQ223);40;65;60;57;98;99;200;91;98;100;68;63;61;32;25;22;
MQ_08060_FV3_R (MQ224);51;79;76;93;81;80;0;96;71;81;93;50;38;22;19;17;
MQ_08060_FV3_G (MQ225);389;844;706;672;664;688;800;769;724;735;672;491;318;207;162;145;
MQ_03050_FV2_R (MQ226);-41;117;148;158;204;239;320;214;222;222;201;143;90;92;74;55;
MQ_08060_FV3_L (MQ227);-36;184;174;193;203;180;213;173;167;172;145;84;69;49;35;30;
MQ_03050_FV3_G (MQ228);316;539;453;485;551;691;760;710;636;590;540;358;293;169;142;100;
MQ_03050_FV3_L (MQ229);120;61;44;47;49;42;40;42;28;35;28;11;18;12;8;4;
MQ_03020_FV3_R (MQ23);;;;;;;;;
MQ_03050_FV3_R (MQ230);120;100;73;42;44;52;;62;70;58;61;49;29;25;20;16;
MQ_03050_FV4_G (MQ231);-79;95;99;107;129;129;80;151;129;99;96;70;62;39;18;20;
MQ_03050_FV4_L (MQ232);-122;48;55;71;109;101;0;100;79;58;58;37;43;20;9;10;
MQ_03060_FV1_G (MQ233);1385;933;871;828;918;1043;1240;1066;1015;889;792;516;373;324;208;149;
MQ_08060_FV4_R (MQ234);140;117;170;185;251;282;280;294;246;321;197;161;121;75;67;52;
MQ_08060_FV4_G (MQ235);634;186;188;204;247;352;400;237;191;126;101;95;47;61;26;44;
MQ_03060_FV2_G (MQ236);556;762;713;763;922;1102;960;1070;993;906;842;568;465;304;240;181;
MQ_08060_FV4_L (MQ237);80;50;68;59;69;76;120;72;65;54;42;32;17;17;36;4;
MQ_03130_FV1_G (MQ238);1969;797;743;747;863;942;859;1029;958;929;879;660;504;329;252;194;
MQ_03130_FV1_L (MQ239);53;33;61;42;46;43;60;62;45;55;59;36;23;14;7;9;
MQ_08020_FV1_L (MQ24);65;147;137;133;138;141;200;166;139;159;166;138;102;122;92;87;
MQ_03130_FV1_R (MQ240);145;61;57;56;62;72;61;78;70;66;67;51;42;28;23;17;
MQ_03130_FV2_G (MQ241);34;17;17;21;22;30;41;29;23;26;22;16;19;15;15;5;
MQ_03130_FV2_L (MQ242);53;26;27;32;34;47;64;45;35;41;33;25;29;23;23;8;
MQ_03130_FV2_R (MQ243);13;6;6;8;8;11;16;11;9;10;8;6;7;6;6;2;
MQ_06160_FV1_R (MQ244);7;9;13;15;15;15;16;17;15;15;16;13;9;6;6;5;
MQ_03130_FV3_G (MQ245);1070;856;876;994;1168;1223;1404;1157;1159;1077;950;710;490;366;296;254;
MQ_03130_FV3_L (MQ246);115;178;174;194;241;222;120;194;217;210;193;164;100;63;65;51;
MQ_03130_FV3_R (MQ247);30;20;21;24;28;29;36;27;27;26;24;18;13;10;8;7;
MQ_03130_FV4_G (MQ248);9;22;20;25;29;33;48;33;23;28;26;18;10;9;8;5;
MQ_03130_FV4_L (MQ249);80;66;143;158;114;91;200;134;231;165;133;151;218;462;317;153;
MQ_08020_FV1_G (MQ25);262;678;664;692;720;785;880;737;731;708;676;630;462;330;377;284;
MQ_03130_FV4_R (MQ250);28;66;61;75;86;98;143;99;70;84;77;53;29;27;24;15;
MQ_03150_FV1_G (MQ251);991;863;827;847;967;1060;969;1085;1052;963;948;724;540;346;308;223;
MQ_06161_FV1_R (MQ252);-76;202;191;254;281;394;240;347;340;305;290;203;117;98;89;76;
MQ_08070_FV1_G (MQ253);131;593;780;879;1132;1232;1113;1322;1261;1333;1044;862;653;427;357;282;
MQ_03150_FV1_L (MQ254);160;135;105;119;149;134;40;161;124;107;118;75;48;27;25;17;
MQ_03150_FV1_R (MQ255);23;26;24;24;26;30;31;32;31;26;27;21;16;11;9;7;
MQ_08070_FV2_R (MQ256);120;19;26;23;29;28;40;27;18;21;18;21;13;15;18;7;
MQ_08070_FV2_L (MQ257);80;31;21;21;46;59;120;41;26;30;24;17;10;5;8;7;
MQ_03150_FV2_G (MQ258);202;189;149;168;180;183;308;236;255;227;241;101;53;147;48;82;
MQ_03150_FV2_L (MQ259);200;411;367;396;313;392;320;161;226;363;276;177;163;186;82;55;
MQ_08052_FV1_G (MQ26);446;660;745;789;981;1004;1200;1016;977;874;764;610;453;352;288;219;
MQ_08070_FV3_G (MQ260);418;1079;931;929;932;921;1080;1014;942;955;896;609;412;271;202;183;
MQ_03150_FV2_R (MQ261);87;81;64;72;77;78;132;101;109;97;103;43;23;63;20;35;
